Company,Type,Industry,HQ / Region,AUM / Scale,Contact Person,Contact Title,Discovery Method,Source URL,Confidence,Notes
Blackstone,Client (FundEngine co-developer),Private Equity / Alternative Assets,New York USA,$1T+ AUM,William Murphy,CTO,Press release — Cloud Theory strategic investment,https://www.blackstone.com/news/press/blackstone-makes-strategic-investment-in-cloud-theory/,High,FundEngine (now InvestorFlow CRM) was incubated by Blackstone Innovations team
Kleiner Perkins,Client,Venture Capital,Menlo Park USA,,Moustafa ElBialy,CIO,Dreamforce 2023 keynote + website testimonial,https://www.investorflow.com/resources/blog/investorflow-at-dreamforce-2023/,High,Spoke at Dreamforce 2023 as InvestorFlow client
Ariel Alternatives,Client,Private Equity,Chicago USA,,Lorenna Buck Ph.D.,Managing Director,Website testimonial,https://www.investorflow.com/,High,Testimonial on scalability
Verde Technology Ventures,Client,Private Equity / Portfolio Mgmt,Unknown,,Jeffrey Green,Managing Director,Website testimonial,https://www.investorflow.com/,High,Testimonial on portfolio management
Alpha Alternatives,Client / Partner,Private Equity & Private Credit,Unknown,,Jonathan Balkin,Global Head of PE & PC,InvestorFlow AI press release,https://www.investorflow.com/resources/media-and-news/investorflow-ai-supercharges-private-markets/,High,Praised AI suite
M7 Real Estate,Client,Real Estate (Pan-European),London UK,,,,Website testimonial + Coyote Software,https://www.investorflow.com/,High,Pan-European RE firm across 14 countries
Nuveen,Client (via Coyote),Real Estate / Asset Management,Chicago USA,$1.1T+ AUM,,,Coyote Software acquisition press release,https://www.investorflow.com/resources/media-and-news/investorflow-announces-acquisition-of-coyote-software-to-create-the-leading-industry-cloud-for-the-commercial-real-estate-industry/,High,Named as proven Coyote client
LGIM (Legal & General Investment Management),Client (via Coyote),Asset Management,London UK,$1.5T+ AUM,,,Coyote Software acquisition press release,https://www.investorflow.com/resources/media-and-news/investorflow-announces-acquisition-of-coyote-software-to-create-the-leading-industry-cloud-for-the-commercial-real-estate-industry/,High,Named as proven Coyote client
Royal London Asset Management,Client (via Coyote),Asset Management,London UK,~$190B AUM,,,Coyote Software acquisition press release,https://www.investorflow.com/resources/media-and-news/investorflow-announces-acquisition-of-coyote-software-to-create-the-leading-industry-cloud-for-the-commercial-real-estate-industry/,High,Named as proven Coyote client
Landsec,Client (via Coyote),Real Estate (REIT),London UK,~$13B portfolio,,,Coyote Software press release (Nov 2019),https://coyotesoftware.co.uk/,High,Adopted Coyote platform pre-acquisition
Picton Property Income,Client (via Coyote),Real Estate,London UK,,,,Coyote Software press release (Oct 2019),https://coyotesoftware.co.uk/,High,Coyote hat-trick client Oct 2019
Kames Capital (now abrdn),Client (via Coyote),Asset Management,Edinburgh UK,,,,Coyote Software press release (Oct 2019),https://coyotesoftware.co.uk/,High,Now part of abrdn
Tandem Property Asset Management,Client (via Coyote),Real Estate,London UK,,,,Coyote Software press release (Oct 2019),https://coyotesoftware.co.uk/,High,Coyote hat-trick client Oct 2019
Oxford Properties Group,Client (via Coyote),Real Estate,Toronto Canada,$70B+ AUM,,,Coyote Software association,https://coyotesoftware.co.uk/,Medium,Associated with Coyote Software pre-acquisition
Eschelon Advisors,Client (Portal),Energy / Private Equity,Houston USA,,Thomas S. Glanville,Managing Partner,Subdomain: eschelonadvisors.investorflow.com,https://eschelonadvisors.investorflow.com/,High,Energy PE firm founded 2003
Related Companies,Client (Portal),Real Estate,New York USA,$60B+ owned/developed,,,Subdomain: related.investorflow.com,https://related.investorflow.com/,High,Major NYC RE developer (Hudson Yards)
Theorem Partners,Client (Portal),Alternative Assets,Unknown,,,,Subdomain: theorem.investorflow.com,https://theorem.investorflow.com/,High,
Spring Bridge Partners,Client (Portal),Private Equity,Unknown,,,,Subdomain: sbridgep.investorflow.com,https://sbridgep.investorflow.com/,High,
Search Fund Partners,Client (Portal),Search Funds / PE,Unknown,,,,Subdomain: searchfunds.investorflow.com,https://searchfunds.investorflow.com/,High,
TIFF (The Investment Fund for Foundations),Client (Portal),Foundations / Endowments,Radnor PA USA,,,,Subdomain: tiff.investorflow.com,https://tiff.investorflow.com/,High,Non-profit investment fund
Recognize Investment Management,Client (Portal),Alternative Assets,Unknown,,,,Subdomain: recognize.investorflow.com,https://recognize.investorflow.com/,High,
Tillman PES / E78 Partners,Client (Portal),Private Equity,Unknown,,,,Subdomain: tillmanpes.investorflow.com,https://tillmanpes.investorflow.com/,High,Portal titled E78 Partners Investor Portal
L Catterton,Client (Portal + CRM),Consumer PE / LVMH-backed,Greenwich CT USA,$37B equity capital,,,Subdomain: lcatterton.investorflow.com (crt.sh cert transparency),https://crt.sh/?q=%25.investorflow.com,High,World's largest consumer-focused PE firm. LVMH partnership.
3 Rivers Capital,Client (Portal + CRM),Private Equity (Lower Middle Market),Pittsburgh PA USA,,,,Subdomain: 3riverscap.investorflow.com (crt.sh),https://crt.sh/?q=%25.investorflow.com,High,Founded 2005. Control buyouts $3-10M EBITDA.
4x4 Capital,Client (Portal),Private Equity / Investment,Unknown,,,,Subdomain: 4x4capital.investorflow.com (crt.sh),https://crt.sh/?q=%25.investorflow.com,High,
Blue Atlantic Partners,Client (Portal),Private Equity / Investment,Unknown,,,,Subdomain: blueatlanticpartners.investorflow.com (crt.sh),https://crt.sh/?q=%25.investorflow.com,High,
Blue Wolf Capital Partners,Client (Portal + CRM),PE (Industrial / Healthcare),New York USA,$2.9B+ capital,,,Subdomain: bluewolfcapital-irm.investorflow.com (crt.sh),https://crt.sh/?q=%25.investorflow.com,High,Middle-market PE. Fund V at $1.1B hard cap.
Broad Sky Partners,Client (Portal + CRM),PE (Business & Consumer Services),New York USA,$335M fund,,,Subdomain: broadskypartners.investorflow.com (crt.sh),https://crt.sh/?q=%25.investorflow.com,High,Founded by ex-Carlyle exec. Middle-market services.
Bernhard Capital Partners,Client (Portal + CRM),PE (Services & Infrastructure),Baton Rouge LA USA,$3.4B gross AUM,,,Subdomain: bernhardcapital.investorflow.com (crt.sh),https://crt.sh/?q=%25.investorflow.com,High,PEI 300 firm. Services and infrastructure focus.
Cabot Properties,Client (Portal + CRM),Real Estate (Industrial / Logistics),Boston MA USA,$17B+ invested historically,,,Subdomain: cabotprop.investorflow.com (crt.sh),https://crt.sh/?q=%25.investorflow.com,High,Global industrial RE. Fund VII at $1.57B.
Carlton Senior Living,Client (Portal),Senior Living / Healthcare RE,Unknown,,,,Subdomain: carltonseniorliving.investorflow.com (crt.sh),https://crt.sh/?q=%25.investorflow.com,High,Senior living operator
CAZ Investments,Client (Portal + CRM),Alternative Assets / GP Stakes,Houston TX USA,$11B+ deployed,,,Subdomain: caz.investorflow.com (crt.sh),https://crt.sh/?q=%25.investorflow.com,High,Top 120 allocator to PE worldwide. 8700+ investors.
Coral Tree Partners,Client (Portal + CRM),PE (Media / Entertainment),Los Angeles CA USA,$470M Fund I,,,Subdomain: coraltreelp.investorflow.com (crt.sh),https://crt.sh/?q=%25.investorflow.com,High,Founded 2021 by ex-Shamrock Capital partners.
DCCP (likely a fund entity),Client (Portal),Unknown,Unknown,,,,Subdomain: dccp.investorflow.com (crt.sh),https://crt.sh/?q=%25.investorflow.com,Medium,Unknown entity — needs research
Family Office (unidentified),Client (Portal),Family Office,Unknown,,,,Subdomain: familyoffice.investorflow.com (crt.sh),https://crt.sh/?q=%25.investorflow.com,Medium,Generic name — could be demo or single client
Fenway Partners,Client (Portal + CRM),PE (Middle Market),New York USA,,,,Subdomain: fenwaypartners.investorflow.com (crt.sh),https://crt.sh/?q=%25.investorflow.com,High,Established middle-market PE firm
InterAlpen Partners,Client (Portal + CRM),PE / Growth Equity,Omaha NE USA,$125M+,,,Subdomain: interalpenpartners.investorflow.com (crt.sh),https://crt.sh/?q=%25.investorflow.com,High,Successor firm to Panorama Point Partners
Investco (unidentified),Client (Portal),Investment,Unknown,,,,Subdomain: investco.investorflow.com (crt.sh),https://crt.sh/?q=%25.investorflow.com,Medium,Needs research
Key Real Estate Company,Client (Portal),Real Estate,Unknown,,,,Subdomain: keyrealestateco.investorflow.com (crt.sh),https://crt.sh/?q=%25.investorflow.com,High,
Lafayette Square,Client (Portal + CRM),Private Credit / Impact Investing,Miami FL USA,,,,Subdomain: lafayettesquare.investorflow.com (crt.sh),https://crt.sh/?q=%25.investorflow.com,High,Minority-owned impact credit firm. Morgan Stanley backed.
Liberty Capital LP,Client (Portal),Private Equity,Unknown,,,,Subdomain: libertycapitallp.investorflow.com (crt.sh),https://crt.sh/?q=%25.investorflow.com,High,
Liccar (unidentified),Client (Portal),Unknown,Unknown,,,,Subdomain: liccar.investorflow.com (crt.sh),https://crt.sh/?q=%25.investorflow.com,Medium,Needs research
MCCP (unidentified fund entity),Client (Portal),Unknown,Unknown,,,,Subdomain: mccp.investorflow.com (crt.sh),https://crt.sh/?q=%25.investorflow.com,Medium,Unknown — needs research
Medical Solutions,Client (Portal),Healthcare Staffing,Omaha NE USA,,,,Subdomain: medicalsolutions.investorflow.com (crt.sh),https://crt.sh/?q=%25.investorflow.com,High,Leading healthcare staffing company
MEP Capital (Merit Capital Partners),Client (Portal + CRM),PE (Middle Market),Chicago IL USA,,,,Subdomain: mepcap.investorflow.com / meritcapital.investorflow.com (crt.sh),https://crt.sh/?q=%25.investorflow.com,High,Both subdomains found — likely same entity
MOACAP (unidentified),Client (Portal),Unknown,Unknown,,,,Subdomain: moacap-irm.investorflow.com (crt.sh),https://crt.sh/?q=%25.investorflow.com,Medium,IRM-only subdomain. Needs research.
Montgomery Street Partners,Client (Portal + CRM),PE / Investment,San Francisco CA USA,,,,Subdomain: montgomerystreetpartners.investorflow.com (crt.sh),https://crt.sh/?q=%25.investorflow.com,High,SF-based investment firm
New 2nd Capital,Client (Portal),Private Equity / Investment,Unknown,,,,Subdomain: new2ndcapital.investorflow.com (crt.sh),https://crt.sh/?q=%25.investorflow.com,High,
OMX (unidentified),Client (Portal),Unknown,Unknown,,,,Subdomain: omx.investorflow.com (crt.sh),https://crt.sh/?q=%25.investorflow.com,Medium,Needs research
One Equity Partners,Client (Portal + CRM),PE (Middle Market),New York USA,$10B+ AUM,,,Subdomain: oneequity.investorflow.com (crt.sh),https://crt.sh/?q=%25.investorflow.com,High,Spun out of JPMorgan 2015. Fund IX at $3.25B.
Panorama Point Partners,Client (Portal + CRM),PE / Growth Equity,Omaha NE USA,$125M+,,,Subdomain: panoramapoint.investorflow.com (crt.sh),https://crt.sh/?q=%25.investorflow.com,High,Now succeeded by InterAlpen Partners
Platform LLC,Client (Portal),Investment / PE,Unknown,,,,Subdomain: platformllc.investorflow.com (crt.sh),https://crt.sh/?q=%25.investorflow.com,Medium,Needs research
Ridgemont Equity Partners,Client (Portal + CRM),PE (Middle Market),Charlotte NC USA,$11B+ capital,,,Subdomain: ridgemontep.investorflow.com (crt.sh),https://crt.sh/?q=%25.investorflow.com,High,Ex-Bank of America Capital. Fund V at $3.975B.
Rock Hill Capital,Client (Portal),PE (Lower Middle Market),Houston TX USA,,,,Subdomain: rockhillcap.investorflow.com (crt.sh),https://crt.sh/?q=%25.investorflow.com,High,Houston-based lower middle-market PE
Sack Properties,Client (Portal),Real Estate,Unknown,,,,Subdomain: sackproperties.investorflow.com (crt.sh),https://crt.sh/?q=%25.investorflow.com,High,
Sage Hall Partners,Client (Portal),Private Equity / Investment,Unknown,,,,Subdomain: sagehallpartners.investorflow.com (crt.sh),https://crt.sh/?q=%25.investorflow.com,High,
SFS (unidentified),Client (Portal),Unknown,Unknown,,,,Subdomain: sfs.investorflow.com (crt.sh),https://crt.sh/?q=%25.investorflow.com,Medium,Needs research
Structural Capital,Client (Portal + CRM),Venture Lending / Credit,San Francisco CA USA,,,,Subdomain: structuralcapital.investorflow.com (crt.sh),https://crt.sh/?q=%25.investorflow.com,High,Venture lending and credit fund
TMF Group (US),Client (Portal),Fund Administration,Amsterdam NL (global),,,,Subdomain: tmf-groupus.investorflow.com (crt.sh),https://crt.sh/?q=%25.investorflow.com,High,Global fund admin and corporate services
Walcap (Walton Street Capital?),Client (Portal),Real Estate PE,Unknown,,,,Subdomain: walcap.investorflow.com (crt.sh),https://crt.sh/?q=%25.investorflow.com,Medium,Likely Walton Street Capital or similar
WFINV (unidentified),Client (Portal),Unknown,Unknown,,,,Subdomain: wfinv.investorflow.com (crt.sh),https://crt.sh/?q=%25.investorflow.com,Medium,Needs research
Zeno Partners,Client (Portal + CRM),Private Equity / Investment,Unknown,,,,Subdomain: zenopartners.investorflow.com (crt.sh),https://crt.sh/?q=%25.investorflow.com,High,
Broy (unidentified),Client (Portal),Unknown,Unknown,,,,Subdomain: broy.investorflow.com (crt.sh),https://crt.sh/?q=%25.investorflow.com,Medium,Needs research
Atlas Sand (likely Atlas Sand Co),Client (Portal),Energy / Frac Sand,Austin TX USA,,,,Subdomain: atlassand.investorflow.com (crt.sh),https://crt.sh/?q=%25.investorflow.com,High,Likely Atlas Sand Company — Permian Basin frac sand producer
Cerberus Capital Management,Likely Client,Private Equity / Distressed,New York USA,,Ed Keenan,Director (formerly VP),Website testimonial + LinkedIn profile,https://www.investorflow.com/,Medium,Ed Keenan testimonial — may have used at Brookfield
Brookfield Asset Management,Likely Client,Alternative Assets / Real Estate,Toronto Canada,$900B+ AUM,Ed Keenan,Former VP,Inferred from Ed Keenan career history,https://www.linkedin.com/in/edkeenan4/,Medium,Ed Keenan was VP at Brookfield
West Monroe,Implementation Partner,Consulting,Chicago USA,,Chuck Greiner,Partner - Customer Solutions,InvestorFlow case study + partner page,https://www.investorflow.com/why-investorflow/partnership-network/,High,Consulting partner
Holland Mountain,Implementation Partner,Consulting (Private Capital),London UK,,Barnaby Piggott,CEO,InvestorFlow partner page,https://www.investorflow.com/why-investorflow/partnership-network/,High,Specialist consulting firm
Lionpoint Group (Alpha Group),Implementation Partner,Consulting,New York / London,,,,Co-authored report,https://www.investorflow.com/2024/,High,Co-produced industry report
Preqin,Technology Partner,Data / Analytics,London UK,,,,Preqin partner page,https://www.preqin.com/about/partners/investorflow,High,Listed as InvestorFlow partner
